Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
879,ENG,7,4,7,0,17,12,0,0,1,0,244,6,3\43,0,0,0,0,England,306,51,CEW Silverwood
880,IND,3,1,0,0,4,4,0,0,0,0,0,0,0,0,0,6,0,India,0,0,WP Saha
881,ENG,9,4,9,1,16,10,0,0,1,7,239,11,3\22,0,0,0,0,England,402,36.5,RL Johnson
882,IND,2,2,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,India,0,0,PH Sharma
883,IND,2,2,0,0,16,9,0,0,0,0,0,0,0,0,0,0,0,India,0,0,S Somasunder
884,ENG,2,2,0,1,15,10*,0,0,0,0,0,0,0,0,0,0,0,England,0,0,DM Smith
885,IND,2,2,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,India,0,0,TE Srinivasan
886,ENG,10,5,10,2,9,4,0,0,1,8,404,16,3\40,0,0,1,0,England,526,32.8,DE Malcolm
887,ENG,1,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,England,0,0,AP Wells
888,IND,3,2,0,2,49,37*,0,0,0,0,0,0,0,0,0,2,0,India,0,0,SS Tiwary
889,ENG,1,1,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,England,0,0,AR Butcher
890,ENG,1,1,1,0,14,14,0,0,0,0,14,0,0,0,0,0,0,England,24,0,G Chapple
891,ENG,1,1,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,England,0,0,BW Luckhurst
892,IND,25,23,0,1,439,75,0,2,1,0,0,0,0,0,0,3,0,India,0,0,GR Viswanath
893,IND,22,12,0,4,72,23*,0,0,0,0,0,0,0,0,0,17,7,India,0,0,S Viswanath
894,IND,2,2,0,0,73,67,0,1,0,0,0,0,0,0,0,1,0,India,0,0,AL Wadekar
895,IND,19,12,0,2,118,34*,0,0,2,0,0,0,0,0,0,12,7,India,0,0,V Yadav
896,NZ,108,96,107,16,1740,79,0,4,4,177,3322,152,5\25,1,5,0,0,New Zealand,5967,39.2,Sir RJ Hadlee
897,NZ,110,48,110,37,118,19*,0,0,6,151,3583,136,5\34,3,1,19,0,New Zealand,5956,43.7,EJ Chatfield
898,NZ,139,138,46,18,4632,107*,4,33,3,21,954,29,2\9,0,0,65,0,New Zealand,1296,44.6,MD Crowe
899,NZ,117,69,116,26,612,37,0,0,6,89,3889,109,4\24,1,0,22,0,New Zealand,6212,56.9,GR Larsen
900,NZ,168,155,0,29,3206,108,1,14,19,0,0,0,0,0,0,110,21,New Zealand,0,0,AC Parore
901,NZ,236,209,223,61,4328,130,1,16,12,81,7374,198,5\42,2,1,92,0,New Zealand,10392,52.4,CZ Harris
902,NZ,95,77,0,16,1055,62*,0,3,7,0,0,0,0,0,0,78,4,New Zealand,0,0,IDS Smith
903,NZ,144,144,3,1,3849,101,1,24,9,1,8,0,0,0,0,50,0,New Zealand,24,0,JG Wright
